,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
201107,1.5721,3.0106,4.488,7.1837,22.0117,0.7513,1.5154,2.4639,4.0901,10.7051,0.498,1.1054,1.8878,3.028,8.3617,0.416,0.8643,1.4592,2.4124,6.1061,0.3912,0.6272,0.9459,1.4061,2.8744
201108,1.4561,2.7681,4.1531,7.0146,23.2392,0.7131,1.5338,2.519,4.2595,10.5109,0.5106,1.1017,1.8111,2.9425,7.5609,0.4131,0.8272,1.4527,2.4404,5.6852,0.3683,0.6508,1.0012,1.5154,3.3262
201109,2.2953,4.3473,6.8272,10.4003,27.0489,1.2526,2.5617,4.0698,6.3145,17.0195,0.9288,1.6475,2.4671,3.7387,8.764,0.6777,1.2124,1.9468,2.9274,6.9137,0.5503,0.8705,1.2531,1.8985,4.1638
201110,2.6867,5.1286,7.7338,11.4642,28.9183,1.4518,2.8229,4.5638,6.8075,16.1291,1.1412,2.0513,3.1309,4.5017,12.1398,0.839,1.4718,2.2885,3.2825,7.6941,0.687,1.047,1.4332,2.1248,4.9238
201111,2.8888,5.3836,8.2049,12.8684,35.0664,1.7287,3.2526,5.0944,7.5323,16.9253,1.2294,2.1666,3.22,4.5825,11.8472,0.9541,1.6206,2.5393,3.669,9.1562,0.7645,1.2064,1.7187,2.5864,5.5157
201112,2.4808,4.8549,7.6624,12.065,33.8093,1.594,3.0613,4.7624,7.3389,19.1386,1.092,1.951,2.8723,4.1634,13.0631,0.7873,1.4567,2.2352,3.449,9.9731,0.6037,1.0202,1.577,2.2187,5.5205
201201,2.1954,4.4398,7.3264,12.0265,36.0405,1.3382,2.5609,3.9935,6.4217,20.1208,0.8872,1.5652,2.3119,3.661,12.7194,0.6584,1.2162,1.8494,2.8788,9.4665,0.4599,0.8546,1.2006,1.6579,3.7464
201202,1.7555,3.593,6.0562,10.5281,33.6843,1.1181,2.02,3.3445,5.9344,15.9465,0.8023,1.3827,2.1804,3.4882,13.6638,0.6689,1.1136,1.7344,2.7384,9.1932,0.415,0.7856,1.1458,1.7076,3.3431
201203,1.5926,3.2306,5.4157,9.4867,30.9659,1.0015,1.9169,3.0252,5.2652,13.0747,0.8054,1.5138,2.3143,3.585,11.0422,0.6392,1.0836,1.7626,3.0857,7.8413,0.4225,0.7471,1.1049,1.8798,4.1727
201204,1.5291,2.9763,4.8753,8.2882,26.727,0.9294,1.9039,3.009,5.3977,12.7578,0.6968,1.3111,2.0324,3.2255,9.7156,0.5452,1.0024,1.6807,2.9526,8.1781,0.3803,0.6709,1.0228,1.6804,3.6385
